Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
0,10.217760933076043,9.546842189903945,-8.920981916361326,[-0.94149466 -0.30599875  0.1412536 ],[ 0.11934599 -0.69465867 -0.70937005],[ 0.31518939 -0.65101006  0.69053715]
1,10.253648573663748,9.456758347861074,-8.954577950345247,[-0.93836814 -0.31307968  0.1464457 ],[ 0.12324361 -0.69892303 -0.70449813],[ 0.32291832 -0.6430301   0.69443217]
2,10.254088403383705,9.460642935939854,-8.951441603462413,[-0.93849973 -0.31276789  0.14626863],[ 0.12306178 -0.69879939 -0.70465254],[ 0.32260512 -0.64331614  0.69431281]
3,10.177504529321794,9.58080122167398,-8.923792037239002,[-0.94282388 -0.3025506   0.13980793],[ 0.11652688 -0.69223444 -0.7122029 ],[ 0.31225728 -0.65519052  0.68791044]
4,10.177229493070447,9.576605920882393,-8.927781301399188,[-0.94271082 -0.3028513   0.13991927],[ 0.11675184 -0.69238227 -0.71202233],[ 0.31251451 -0.65489532  0.68807471]
5,10.177097680965666,9.576727729987589,-8.92766376656873,[-0.94271749 -0.30283559  0.13990834],[ 0.1167424  -0.6923713  -0.71203455],[ 0.31249792 -0.65491418  0.68806429]
6,10.200638431901254,9.578270990372175,-8.909233301471065,[-0.94253841 -0.30316973  0.14039039],[ 0.11690612 -0.69292048 -0.71147324],[ 0.31297652 -0.65417836  0.68854657]
7,10.198877923434011,9.579532824568393,-8.90848176502844,[-0.94249608 -0.30323335  0.1405371 ],[ 0.11683605 -0.69289986 -0.71150483],[ 0.31313013 -0.65417071  0.68848399]
8,10.256744872714073,9.445687167467517,-8.949932802012986,[-0.93892149 -0.31230028  0.14455094],[ 0.12396173 -0.69877848 -0.70451552],[ 0.32102948 -0.64356598  0.69481141]
9,10.183119220230562,9.583458701294113,-8.914116320528722,[-0.94293277 -0.30254479  0.13908432],[ 0.11697085 -0.6920285  -0.71233025],[ 0.31176212 -0.65541072  0.68792527]
10,10.256472611808046,9.425420828568864,-8.975250504987777,[-0.93902787 -0.31168468  0.1451872 ],[ 0.12281911 -0.6984442  -0.70504692],[ 0.32115748 -0.64422695  0.69413941]
11,10.249899116328715,9.449258518993446,-8.962279682381201,[-0.93864903 -0.31233504  0.14623552],[ 0.12267939 -0.69868643 -0.70483121],[ 0.32231626 -0.64364905  0.69413841]
12,10.246098772829718,9.445727808415246,-8.964474487054476,[-0.93863837 -0.31228902  0.14640209],[ 0.12255948 -0.69877114 -0.70476809],[ 0.3223929  -0.64357941  0.69416739]
13,10.226154859008702,9.579228933096111,-8.889113646013971,[-0.94272342 -0.30293107  0.13966147],[ 0.11759732 -0.693613   -0.71068409],[ 0.3121593  -0.65355472  0.6895091 ]
14,10.248800403477425,9.536332867255151,-8.906815541530454,[-0.94104989 -0.30690154  0.14225521],[ 0.11961694 -0.69528329 -0.70871217],[ 0.31641253 -0.64991738  0.69100689]
15,10.248893131218118,9.536270698717932,-8.906680625732434,[-0.94105795 -0.30689359  0.14221905],[ 0.11963426 -0.69527601 -0.70871639],[ 0.31638201 -0.64992892  0.69101   ]
16,10.297201173453129,9.509414229271034,-8.892035855075632,[-0.93990752 -0.30908702  0.14504849],[ 0.12085922 -0.69851391 -0.7053165 ],[ 0.31932256 -0.64540184  0.6938945 ]
17,10.306660930379522,9.512933906023544,-8.883766854870425,[-0.9396863  -0.31000225  0.14452772],[ 0.12203179 -0.69860066 -0.70502862],[ 0.31952762 -0.64486876  0.6942956 ]
