Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
0,10.84844819230452,1.3767333915661417,-12.350732104634329,[-0.99794154 -0.00121293  0.06411877],[ 0.00530421 -0.99795651  0.06367622],[0.06391051 0.06388525 0.99590869]
1,10.84844819230452,1.3767333915661417,-12.350732104634329,[-0.99794154 -0.00121293  0.06411877],[ 0.00530421 -0.99795651  0.06367622],[0.06391051 0.06388525 0.99590869]
2,10.127404587286904,1.7337658213421672,-12.476968895693695,[-0.99829704  0.00342157 -0.05823506],[-3.65779229e-05 -9.98314928e-01 -5.80284702e-02],[-0.05833547 -0.05792752  0.99661496]
3,10.140807872998636,1.73123378120536,-12.475186324727911,[-0.99840014  0.00330054 -0.05644707],[-1.20643512e-04 -9.98416994e-01 -5.62449177e-02],[-0.05654335 -0.05614812  0.99682006]
4,10.266217154973267,1.0080862941944935,-12.501841066385483,[9.99983472e-01 1.19690983e-04 5.74812001e-03],[-8.67955732e-05  9.99983621e-01 -5.72272043e-03],[-0.00574871  0.00572213  0.9999671 ]
5,10.266817318009927,1.0084085257607496,-12.50176034080864,[9.99984061e-01 1.17336712e-04 5.64473743e-03],[-8.56139072e-05  9.99984205e-01 -5.61980373e-03],[-0.00564531  0.00561923  0.99996828]
6,10.90484839490853,1.7149629842792151,-12.462973793241224,[-0.99972709 -0.00138982  0.02331979],[ 0.00193212 -0.99972785  0.02324849],[0.02328114 0.0232872  0.9994577 ]
7,10.908176827726125,1.6548777730352646,-12.468039581166439,[-0.99953841 -0.00160476  0.0303378 ],[ 0.00252254 -0.99953954  0.03023806],[0.0302753  0.03030063 0.99908222]
8,6.77776670599113,1.1828578514806483,-12.37218438452438,[ 0.92990647 -0.0014253   0.36779331],[ 0.13719406  0.92916189 -0.34327245],[-0.34125026  0.36967033  0.8642292 ]
13,11.331545468141853,1.4178844513470787,-12.593308845071245,[-0.99926323 -0.00196309  0.03832947],[ 0.0034431  -0.99924938  0.03858523],[0.03822495 0.03868878 0.99851992]
14,9.451654162213863,2.1565849281657163,-12.54909354480225,[ 0.99988532  0.002037   -0.01500671],[-0.0018127   0.99988667  0.01494499],[ 0.01503545 -0.01491608  0.9997757 ]
15,9.244426358338682,2.1794568962380305,-12.536253429153259,[ 9.99985105e-01 -7.47266537e-04  5.40652619e-03],[ 7.76285319e-04  9.99985295e-01 -5.36725566e-03],[-0.00540244  0.00537137  0.99997098]
