Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
0,6.522039117062636,8.966852489352753,-1.2356279081167245,[-0.57037587 -0.7371254   0.36237757],[ 0.04546433 -0.46883525 -0.88211479],[ 0.8201246  -0.48666174  0.30092523]
1,6.469079389676937,8.938457216350866,-1.2837664893096372,[-0.56899543 -0.73671788  0.36536417],[ 0.04110476 -0.46922237 -0.88212287],[ 0.82131273 -0.48690567  0.29726799]
2,6.468975645818883,8.938472915783546,-1.2837677866226231,[-0.5689895  -0.73671991  0.36536931],[ 0.04110128 -0.4692239  -0.88212223],[ 0.82131701 -0.48690113  0.2972636 ]
3,6.462133335053314,8.949445074528505,-1.2869703226717402,[-0.56887618 -0.73644948  0.36609022],[ 0.04079254 -0.469855   -0.88180057],[ 0.8214109  -0.48670159  0.29733097]
4,6.462133335053314,8.949445074528505,-1.2869703226717402,[-0.56887618 -0.73644948  0.36609022],[ 0.04079254 -0.469855   -0.88180057],[ 0.8214109  -0.48670159  0.29733097]
5,6.462133335053314,8.949445074528505,-1.2869703226717402,[-0.56887618 -0.73644948  0.36609022],[ 0.04079254 -0.469855   -0.88180057],[ 0.8214109  -0.48670159  0.29733097]
6,6.458520452326158,8.954538636060576,-1.2844487374873421,[-0.56826703 -0.73686942  0.36619127],[ 0.04040098 -0.46948053 -0.88201802],[ 0.82185178 -0.48642728  0.29656055]
7,6.459451061315128,8.9537929963302,-1.2847943694578547,[-0.56834689 -0.73683169  0.36614325],[ 0.04043272 -0.46947633 -0.8820188 ],[ 0.82179499 -0.48648848  0.29661752]
8,6.457593619809469,8.929897983725688,-1.2978106580962439,[-0.56877618 -0.73653423  0.36607512],[ 0.03987586 -0.46925028 -0.88216444],[ 0.82152515 -0.48715656  0.29626832]
9,6.517071480051561,8.974676764588216,-1.2296590988906293,[-0.56980443 -0.73744478  0.36262666],[ 0.04549584 -0.46890123 -0.88207809],[ 0.82051998 -0.48611401  0.30073267]
10,6.480658563610577,8.91414478645147,-1.2985383658067562,[-0.57042624 -0.73593638  0.36470748],[ 0.04109033 -0.46904842 -0.88221605],[ 0.82032035 -0.48825324  0.2977974 ]
